panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y;db_ref;recording_givid
1;1_1;581354_v2014;1;1;2130;2130_hd;40;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;55165,60;218574,10;103425;"circle: IV2020032407405828; square: IV2020032407591177"
1;3_2;645479_v2020;3;1;2120;2120;76;bestaand meetpunt;hoofdtype aanwezig;2019-11-04;23101,70;198451,40;103601;"circle: IV2020031521153338; square: IV2020031521211018"
1;4_2;507129_v2018;4;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;55805,10;219060,20;1009077;"circle: IV2020031719500282; square: IV2020031719541234"
1;6_1;439140_v2016;6;1;2130;2130_hd;25;bestaand meetpunt;hoofdtype aanwezig;2019-10-25;29441,80;201309,70;1013937_2130_hd;"circle: IV2020041011500716; square: IV2020041011550603"
1;8_2;507111_v2018;8;1;2130;2130_hd;10;bestaand meetpunt;hoofdtype aanwezig;2019-10-16;60788,50;222448,30;1015221;"circle: IV2020041015331970; square: IV2020041015454515"
1;9_2;645479_v2020;9;1;2120;2120;76;bestaand meetpunt;hoofdtype aanwezig;2019-11-04;23466,70;198599,10;1021105;"circle: IV2020031520475153; square: IV2020031520570307"
1;11_2;645439_v2014;11;1;2120;2120;;bestaand meetpunt;hoofdtype aanwezig;2019-10-28;78029,40;228572,70;1047861;"circle: IV2020032311244376; square: IV2020032311330161"
1;12_2;511687_v2020;12;1;2120;2120;84;bestaand meetpunt;hoofdtype aanwezig;2019-10-31;23130,40;199570,00;1053873;"circle: IV2020031522020707; square: IV2020031522110295"
1;13_1;561267_v2018;13;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-09-18;33245,60;203918,10;1240881;"circle: IV2019021815483401; square: IV2019021815521039"
1;14_2;497306_v2020;14;1;2120;2120;50;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;31262,30;202466,20;10010417;"circle: IV2020031622542410; square: IV2020031622591285"
1;17_1;606676_v2018;17;1;2120;2120;75;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;29796,30;203375,90;10038833;"circle: IV2020031619445734; square: IV2020031620082049"
1;18_1;439140_v2016;18;1;2130;2130_hd;25;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;29407,90;201671,70;10057905_2130_hd;"circle: IV2020040610425244; square: IV2020040710495029"
1;20_2;560873_v2018;20;0;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;30194,90;203498,80;10071601;"circle: IV2020031619030019; square: IV2020031619093265"
1;21_2;572540_v2014;21;1;2130;2130_hd;50;bestaand meetpunt;hoofdtype aanwezig;2019-10-18;51387,90;216181,20;10082417;"circle: IV2020032606295641; square: IV2020032606512028"
1;22_1;507103_v2018;22;1;2130;2130_hd;;bestaand meetpunt;hoofdtype aanwezig;2019-10-14;65213,60;224302,10;10082997;"circle: IV2020041014344316; square: IV2020041014580548"
1;25_1;497795_v2020;25;1;2130;2130_hd;95;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;33628,10;203013,60;10104625;"circle: IV2020040718225855; square: IV2020040718364614"
1;27_2;497221_v2020;27;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-21;32300,60;204396,70;10129201;"circle: IV2020031623083891; square: IV2020031623145130"
1;28_2;645479_v2020;28;1;2120;2120;76;bestaand meetpunt;hoofdtype aanwezig;2019-11-04;23290,20;198565,60;10130609;"circle: IV2020031521030647; square: IV2020031521074867"
1;29_2;560857_v2018;29;1;2120;2120;55;bestaand meetpunt;hoofdtype aanwezig;2019-10-31;24354,70;200263,10;10138801;"circle: IV2020031522375705; square: IV2020031522385208"
1;31_2;444735_v2016;31;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2018-07-16;32956,70;204141,40;10153777;"circle: IV2019032212064389; square: IV2019032212131981"
1;32_1;507264_v2018;32;1;2130;2130_hd;95;bestaand meetpunt;hoofdtype aanwezig;2019-10-28;77620,60;228447,10;10157365;"circle: IV2020033014401027; square: IV2020033015003401"
1;33_1;639672_v2014;33;1;2130;2130_hd;10;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;57993,30;220036,70;10157493;"circle: IV2020032407075640; square: IV2020032407141512"
1;34_2;511568_v2020;34;1;2130;2130_hd;20;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;31763,40;203574,00;10157873;"circle: IV2020040609581482; square: IV2020040610071733"
1;37_1;511481_v2020;37;1;2130;2130_hd;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-22;35518,40;205927,40;10172209;"circle: IV2020033015060990; square: IV2020040609463603"
1;38_2;581354_v2014;38;1;2130;2130_hd;40;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;55577,10;218674,30;10184117;"circle: IV2020032506172393; square: IV2020032506350318"
1;40_2;561349_v2018;40;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-08-23;32148,00;202792,30;10186545_2170;"circle: IV2019021811495237; square: IV2019021812584035"
1;40_1;597412_v2014;40;1;2130;2130_hd;100;bestaand meetpunt;hoofdtype aanwezig;2018-08-23;31923,90;202743,40;10186545_2130_hd;"circle: IV2019021811115306; square: IV2019021811185084"
