Typeklasse,Type,VerkorteNaam
Kust- en zilte habitats,1140,slik- en zandplaten
Kust- en zilte habitats,1310_pol,binnendijkse zeekraalvegetatie
Kust- en zilte habitats,1310_zk,buitendijks laag schor
Kust- en zilte habitats,1310_zv,buitendijks hoog schor
Kust- en zilte habitats,1320,slijkgrasvelden
Kust- en zilte habitats,1330_da,buitendijkse schor
Kust- en zilte habitats,1330_hpr,zilte graslanden
Kustduinen,2110,embryonale duinen
Kustduinen,2120,witte duinen
Kustduinen,2130_had,kalkarme duingraslanden
Kustduinen,2130_hd,kalkrijke duingraslanden
Kustduinen,2150,duinheiden met struikhei
Kustduinen,2160,duindoornstruwelen
Kustduinen,2170,kruipwilgstruwelen
Kustduinen,2180,duinbossen
Kustduinen,2190_a,duinplassen
Kustduinen,2190_mp,duinpannen (kalkrijk)
Kustduinen,2190_overig,vochtige duinvalleien - overig
Binnenlandse duinen,2310,psammofiele heide
Binnenlandse duinen,2330_bu,buntgrasvegetatie
Binnenlandse duinen,2330_dw,dwerghavervegetatie
Zoete en brakke wateren,3110,zeer zwakgebufferde vennen
Zoete en brakke wateren,3130_aom,oligotrofe tot mesotrofe vijvers en vennen
Zoete en brakke wateren,3130_na,dwergbiezenvegetaties
Zoete en brakke wateren,3140,kranswierwateren
Zoete en brakke wateren,3150,meren met krabbenscheer en fonteinkruiden
Zoete en brakke wateren,3160,zure vennen
Zoete en brakke wateren,3260,beken en rivieren met waterplanten
Zoete en brakke wateren,3270,slikkige rivieroevers
Zoete en brakke wateren,rbbah,brak tot zilt water
Heiden,4010,vochtige heide
Heiden,4030,droge heide
Heiden,rbbsg,brem- en gaspeldoornstruweel niet vervat in een habitattype
Heiden,rbbsm,gagelstruweel niet vervat in een habitattype
Thermofiel struikgewas,5130,jeneverbesstruwelen
(Half-)natuurlijke graslanden,6120,stroomdalgraslanden
(Half-)natuurlijke graslanden,6210_hk,kalkgraslanden
(Half-)natuurlijke graslanden,6210_sk,kalkrijke zomen en struwelen
(Half-)natuurlijke graslanden,6230_ha,struisgrasland
(Half-)natuurlijke graslanden,6230_hmo,vochtige heischrale graslanden
(Half-)natuurlijke graslanden,6230_hn,droge heischrale graslanden
(Half-)natuurlijke graslanden,6230_hnk,kalkrijkere heischrale graslanden
(Half-)natuurlijke graslanden,6410_mo,blauwgrasland
(Half-)natuurlijke graslanden,6410_ve,veldrusgrasland
(Half-)natuurlijke graslanden,6430_bz,nitrofiele boszoom
(Half-)natuurlijke graslanden,6430_hf,moerasspirearuigte
(Half-)natuurlijke graslanden,6430_hw,ruigte en zoom met harig wilgenroosje
(Half-)natuurlijke graslanden,6430_mr,ruiger rietland
(Half-)natuurlijke graslanden,6510_hu,glanshavergrasland
(Half-)natuurlijke graslanden,6510_hua,vossenstaartgrasland
(Half-)natuurlijke graslanden,6510_huk,kalkrijk kamgrasgrasland
(Half-)natuurlijke graslanden,6510_hus,pimpernelgrasland
(Half-)natuurlijke graslanden,rbbha,soortenrijk struisgrasgrasland
(Half-)natuurlijke graslanden,rbbhc,dotterbloemgrasland
(Half-)natuurlijke graslanden,rbbhf,moerasspirearuigte met graslandkenmerken
(Half-)natuurlijke graslanden,rbbhfl,"natte ruigte, Kempisch type"
(Half-)natuurlijke graslanden,rbbkam,kamgrasgrasland
(Half-)natuurlijke graslanden,rbbvos,grote vossenstaartgrasland niet vervat in 6510
(Half-)natuurlijke graslanden,rbbzil,zilverschoongrasland zonder zilte elementen
Moerassen,7140_base,basenrijk trilveen
Moerassen,7140_meso,circum-neutraal overgangsveen
Moerassen,7140_mrd,rietland op drijftillen
Moerassen,7140_oli,zuur overgangsveen
Moerassen,7150,pioniervegetaties met snavelbiezen
Moerassen,7210,galigaanmoerassen
Moerassen,7220,kalktufbronnen
Moerassen,7230,kalkmoerassen
Moerassen,rbbmc,grote zeggenvegetatie
Moerassen,rbbmr,rietland en andere Phragmition-vegetaties niet vervat in 6430
Moerassen,rbbms,kleine zeggenvegetaties niet vervat in 7140
Rotsachtige habitats en grotten,8310,grotten
Bossen en struwelen,9110,veldbies-beukenbossen
Bossen en struwelen,9120,beuken-eikenbossen met hulst
Bossen en struwelen,9130_end,atlantisch neutrofiel beukenbos
Bossen en struwelen,9130_fm,midden-Europese neutrofiel beukenbos
Bossen en struwelen,9150,kalkminnende beukenbossen
Bossen en struwelen,9160,eiken-haagbeukenbossen
Bossen en struwelen,9190,oude eikenbossen
Bossen en struwelen,91E0_sf,wilgenvloedbos
Bossen en struwelen,91E0_va,beekbegeleidend bos
Bossen en struwelen,91E0_vc,goudveil-essenbos
Bossen en struwelen,91E0_vm,mesotroof broekbos
Bossen en struwelen,91E0_vn,ruigt-elzenbos
Bossen en struwelen,91E0_vo,oligotroof broekbos
Bossen en struwelen,91F0,droge hardhoutooibossen
Bossen en struwelen,rbbppm,"structuurrijke, oude bestanden van grove den"
Bossen en struwelen,rbbsf,vochtig wilgenstruweel op voedselrijke bodem niet vervat in 91E0
Bossen en struwelen,rbbso,vochtig wilgenstruweel op venige of zure grond
Bossen en struwelen,rbbsp,doornstruweel
