Vegcode	Typeklasse
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	3
25	3
26	3
27	3
28	4
29	4
30	4
31	4
32	4
33	4
34	4
35	4
36	4
37	5
38	5
39	6
40	6
41	6
42	7
43	7
44	7
45	7
46	7
47	7
48	7
49	7
50	7
51	7
52	7
53	7
54	7
55	7
56	7
57	7
58	7
59	7
60	7
61	7
62	7
63	7
64	8
65	8
66	8
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	9
75	10
76	10
77	10
78	10
79	10
80	10
81	10
82	10
83	10
84	10
85	10
86	10
87	10
88	10
89	10
90	10
91	10
92	4
107	7
93	7
94	7
108	7
95	7
96	8
97	8
98	8
99	10
100	10
101	5
102	5
103	10
104	10
105	7
106	7
