Typeklasse	Type	Naam	VerkorteNaam
Kust- en zilte habitats	1130	Estuaria	estuaria
Kust- en zilte habitats	1140	Bij eb droogvallende slikwadden en zandplaten	bij eb droogvallend zand en slik
Kust- en zilte habitats	1310	Eenjarige pioniersvegetaties van slik- en zandgebieden met Salicornia spp. en andere zoutminnende soorten	zilte pionierbegroeiingen
Kust- en zilte habitats	1310_pol	binnendijks gelegen zeekraalvegetaties	binnendijkse zeekraalvegetatie
Kust- en zilte habitats	1310_zk	buitendijks laag schor met zeekraalvegetaties	buitendijks laag schor
Kust- en zilte habitats	1310_zv	buitendijks hoog schor met zeevetmuurvegetaties (Saginion maritimae)	buitendijks hoog schor
Kust- en zilte habitats	1320	Schorren met slijkgrasvegetatie (Spartinion maritimae)	schorren met slijkgras
Kust- en zilte habitats	1330	Atlantische schorren (Glauco-Puccinellietalia maritimae)	Atlantische schorren
Kust- en zilte habitats	1330_da	buitendijkse schorren	buitendijkse schor
Kust- en zilte habitats	1330_hpr	binnendijkse zilte vegetaties: zilte graslanden	zilte graslanden
Kustduinen	2110	Embryonale wandelende duinen	embryonale duinen
Kustduinen	2120	Wandelende duinen op de strandwal met Ammophila arenaria (‘witte duinen’)	wandelende duinen
Kustduinen	2130	Vastgelegde duinen met kruidvegetatie (‘grijze duinen’)	vastgelegde duinen
Kustduinen	2130_had	duingraslanden van kalkarme milieus	kalkarme duingraslanden
Kustduinen	2130_hd	duingraslanden van kalkrijke milieus	kalkrijke duingraslanden
Kustduinen	2150	Atlantische vastgelegde ontkalkte duinen (Calluno-Ulicetae)	vastgelegde ontkalkte duinen
Kustduinen	2160	Duinen met Hyppophaë rhamnoides	duindoornstruwelen
Kustduinen	2170	Duinen met Salix repens ssp. argentea (Salicion arenaria)	kruipwilgstruwelen
Kustduinen	2180	Beboste duinen van het Atlantische, Continentale en Boreale kustgebied	duinbossen
Kustduinen	2190	Vochtige duinvalleien	vochtige duinvalleien
Kustduinen	2190_a	Vochtige duinvalleien (open water)	duinplassen
Kustduinen	2190_mp	duinpannen met kalkminnende vegetaties	duinpannen (kalkrijk)
Kustduinen	2190_overig	overige vegetaties in vochtige duinvalleien  (als 2190 in de Habitatkaart; enkel via extra selectie in de BWK-velden te selecteren)	vochtige duinvalleien - overige vegetaties
